Internal event: system time 11:16:16, logical clock time 1
Received a message: system time 11:16:17, logical clock time 2, remaining message queue size 0
Received a message: system time 11:16:18, logical clock time 5, remaining message queue size 3
Received a message: system time 11:16:19, logical clock time 6, remaining message queue size 6
Received a message: system time 11:16:20, logical clock time 7, remaining message queue size 6
Received a message: system time 11:16:21, logical clock time 8, remaining message queue size 6
Received a message: system time 11:16:22, logical clock time 9, remaining message queue size 8
Received a message: system time 11:16:23, logical clock time 10, remaining message queue size 8
Received a message: system time 11:16:24, logical clock time 11, remaining message queue size 9
Received a message: system time 11:16:25, logical clock time 12, remaining message queue size 12
Received a message: system time 11:16:26, logical clock time 13, remaining message queue size 13
Received a message: system time 11:16:27, logical clock time 16, remaining message queue size 12
Received a message: system time 11:16:28, logical clock time 17, remaining message queue size 12
Received a message: system time 11:16:29, logical clock time 18, remaining message queue size 13
Received a message: system time 11:16:30, logical clock time 19, remaining message queue size 14
Received a message: system time 11:16:31, logical clock time 21, remaining message queue size 14
Received a message: system time 11:16:32, logical clock time 24, remaining message queue size 14
Received a message: system time 11:16:33, logical clock time 25, remaining message queue size 15
Received a message: system time 11:16:34, logical clock time 26, remaining message queue size 15
Received a message: system time 11:16:35, logical clock time 27, remaining message queue size 17
Received a message: system time 11:16:36, logical clock time 28, remaining message queue size 18
Received a message: system time 11:16:37, logical clock time 29, remaining message queue size 19
Received a message: system time 11:16:38, logical clock time 30, remaining message queue size 19
Received a message: system time 11:16:39, logical clock time 31, remaining message queue size 20
Received a message: system time 11:16:40, logical clock time 37, remaining message queue size 22
Received a message: system time 11:16:41, logical clock time 38, remaining message queue size 22
Received a message: system time 11:16:42, logical clock time 40, remaining message queue size 22
Received a message: system time 11:16:43, logical clock time 42, remaining message queue size 22
Received a message: system time 11:16:44, logical clock time 43, remaining message queue size 24
Received a message: system time 11:16:45, logical clock time 44, remaining message queue size 25
Received a message: system time 11:16:46, logical clock time 49, remaining message queue size 29
Received a message: system time 11:16:47, logical clock time 52, remaining message queue size 29
Received a message: system time 11:16:48, logical clock time 53, remaining message queue size 30
Received a message: system time 11:16:49, logical clock time 54, remaining message queue size 31
Received a message: system time 11:16:50, logical clock time 57, remaining message queue size 31
Received a message: system time 11:16:51, logical clock time 58, remaining message queue size 31
Received a message: system time 11:16:52, logical clock time 59, remaining message queue size 32
Received a message: system time 11:16:53, logical clock time 60, remaining message queue size 32
Received a message: system time 11:16:54, logical clock time 61, remaining message queue size 32
Received a message: system time 11:16:55, logical clock time 63, remaining message queue size 32
Received a message: system time 11:16:56, logical clock time 64, remaining message queue size 32
Received a message: system time 11:16:57, logical clock time 65, remaining message queue size 32
Received a message: system time 11:16:58, logical clock time 68, remaining message queue size 34
Received a message: system time 11:16:59, logical clock time 70, remaining message queue size 35
Received a message: system time 11:17:00, logical clock time 71, remaining message queue size 34
Received a message: system time 11:17:01, logical clock time 72, remaining message queue size 35
Received a message: system time 11:17:02, logical clock time 73, remaining message queue size 36
Received a message: system time 11:17:03, logical clock time 74, remaining message queue size 35
Received a message: system time 11:17:04, logical clock time 78, remaining message queue size 36
Received a message: system time 11:17:05, logical clock time 80, remaining message queue size 37
Received a message: system time 11:17:06, logical clock time 83, remaining message queue size 41
Received a message: system time 11:17:07, logical clock time 84, remaining message queue size 42
Received a message: system time 11:17:08, logical clock time 85, remaining message queue size 41
Received a message: system time 11:17:09, logical clock time 86, remaining message queue size 44
Received a message: system time 11:17:10, logical clock time 88, remaining message queue size 44
Received a message: system time 11:17:11, logical clock time 89, remaining message queue size 46
Received a message: system time 11:17:12, logical clock time 90, remaining message queue size 46
Received a message: system time 11:17:13, logical clock time 91, remaining message queue size 48
Received a message: system time 11:17:14, logical clock time 92, remaining message queue size 47
Received a message: system time 11:17:15, logical clock time 93, remaining message queue size 48
Received a message: system time 11:17:16, logical clock time 94, remaining message queue size 47
Received a message: system time 11:17:17, logical clock time 96, remaining message queue size 48
Received a message: system time 11:17:18, logical clock time 97, remaining message queue size 47
Received a message: system time 11:17:19, logical clock time 98, remaining message queue size 50
