Internal event: system time 11:18:18, logical clock time 1
Received a message: system time 11:18:19, logical clock time 3, remaining message queue size 0
Received a message: system time 11:18:19, logical clock time 5, remaining message queue size 1
Received a message: system time 11:18:20, logical clock time 6, remaining message queue size 2
Received a message: system time 11:18:20, logical clock time 7, remaining message queue size 3
Received a message: system time 11:18:21, logical clock time 8, remaining message queue size 3
Received a message: system time 11:18:21, logical clock time 9, remaining message queue size 3
Received a message: system time 11:18:22, logical clock time 11, remaining message queue size 4
Received a message: system time 11:18:22, logical clock time 13, remaining message queue size 3
Received a message: system time 11:18:23, logical clock time 16, remaining message queue size 3
Received a message: system time 11:18:23, logical clock time 17, remaining message queue size 5
Received a message: system time 11:18:24, logical clock time 19, remaining message queue size 6
Received a message: system time 11:18:24, logical clock time 22, remaining message queue size 5
Received a message: system time 11:18:25, logical clock time 25, remaining message queue size 6
Received a message: system time 11:18:25, logical clock time 26, remaining message queue size 6
Received a message: system time 11:18:26, logical clock time 27, remaining message queue size 6
Received a message: system time 11:18:26, logical clock time 28, remaining message queue size 7
Received a message: system time 11:18:27, logical clock time 29, remaining message queue size 8
Received a message: system time 11:18:27, logical clock time 31, remaining message queue size 8
Received a message: system time 11:18:28, logical clock time 32, remaining message queue size 11
Received a message: system time 11:18:28, logical clock time 34, remaining message queue size 10
Received a message: system time 11:18:29, logical clock time 36, remaining message queue size 9
Received a message: system time 11:18:29, logical clock time 37, remaining message queue size 10
Received a message: system time 11:18:30, logical clock time 38, remaining message queue size 11
Received a message: system time 11:18:30, logical clock time 39, remaining message queue size 10
Received a message: system time 11:18:31, logical clock time 43, remaining message queue size 9
Received a message: system time 11:18:31, logical clock time 44, remaining message queue size 8
Received a message: system time 11:18:32, logical clock time 47, remaining message queue size 8
Received a message: system time 11:18:32, logical clock time 48, remaining message queue size 8
Received a message: system time 11:18:33, logical clock time 49, remaining message queue size 8
Received a message: system time 11:18:33, logical clock time 50, remaining message queue size 11
Received a message: system time 11:18:34, logical clock time 56, remaining message queue size 12
Received a message: system time 11:18:34, logical clock time 57, remaining message queue size 13
Received a message: system time 11:18:35, logical clock time 58, remaining message queue size 12
Received a message: system time 11:18:35, logical clock time 59, remaining message queue size 14
Received a message: system time 11:18:36, logical clock time 71, remaining message queue size 15
Received a message: system time 11:18:36, logical clock time 72, remaining message queue size 15
Received a message: system time 11:18:37, logical clock time 77, remaining message queue size 16
Received a message: system time 11:18:37, logical clock time 78, remaining message queue size 18
Received a message: system time 11:18:38, logical clock time 79, remaining message queue size 18
Received a message: system time 11:18:38, logical clock time 80, remaining message queue size 19
Received a message: system time 11:18:39, logical clock time 81, remaining message queue size 18
Received a message: system time 11:18:39, logical clock time 82, remaining message queue size 20
Received a message: system time 11:18:40, logical clock time 83, remaining message queue size 21
Received a message: system time 11:18:40, logical clock time 84, remaining message queue size 21
Received a message: system time 11:18:41, logical clock time 85, remaining message queue size 22
Received a message: system time 11:18:41, logical clock time 88, remaining message queue size 22
Received a message: system time 11:18:42, logical clock time 89, remaining message queue size 23
Received a message: system time 11:18:42, logical clock time 90, remaining message queue size 24
Received a message: system time 11:18:43, logical clock time 91, remaining message queue size 23
Received a message: system time 11:18:43, logical clock time 92, remaining message queue size 25
Received a message: system time 11:18:44, logical clock time 94, remaining message queue size 25
Received a message: system time 11:18:44, logical clock time 96, remaining message queue size 27
Received a message: system time 11:18:45, logical clock time 98, remaining message queue size 27
Received a message: system time 11:18:45, logical clock time 99, remaining message queue size 26
Received a message: system time 11:18:46, logical clock time 100, remaining message queue size 26
Received a message: system time 11:18:46, logical clock time 101, remaining message queue size 26
Received a message: system time 11:18:47, logical clock time 102, remaining message queue size 26
Received a message: system time 11:18:47, logical clock time 104, remaining message queue size 26
Received a message: system time 11:18:48, logical clock time 106, remaining message queue size 26
Received a message: system time 11:18:48, logical clock time 109, remaining message queue size 26
Received a message: system time 11:18:49, logical clock time 110, remaining message queue size 28
Received a message: system time 11:18:49, logical clock time 111, remaining message queue size 27
Received a message: system time 11:18:50, logical clock time 112, remaining message queue size 27
Received a message: system time 11:18:50, logical clock time 113, remaining message queue size 27
Received a message: system time 11:18:51, logical clock time 115, remaining message queue size 26
Received a message: system time 11:18:51, logical clock time 116, remaining message queue size 25
Received a message: system time 11:18:52, logical clock time 118, remaining message queue size 26
Received a message: system time 11:18:52, logical clock time 121, remaining message queue size 26
Received a message: system time 11:18:53, logical clock time 122, remaining message queue size 25
Received a message: system time 11:18:53, logical clock time 123, remaining message queue size 25
Received a message: system time 11:18:54, logical clock time 124, remaining message queue size 25
Received a message: system time 11:18:54, logical clock time 125, remaining message queue size 25
Received a message: system time 11:18:55, logical clock time 129, remaining message queue size 25
Received a message: system time 11:18:55, logical clock time 130, remaining message queue size 25
Received a message: system time 11:18:56, logical clock time 131, remaining message queue size 25
Received a message: system time 11:18:56, logical clock time 133, remaining message queue size 26
Received a message: system time 11:18:57, logical clock time 135, remaining message queue size 26
Received a message: system time 11:18:57, logical clock time 136, remaining message queue size 28
Received a message: system time 11:18:58, logical clock time 137, remaining message queue size 29
Received a message: system time 11:18:58, logical clock time 138, remaining message queue size 29
Received a message: system time 11:18:59, logical clock time 143, remaining message queue size 29
Received a message: system time 11:18:59, logical clock time 145, remaining message queue size 30
Received a message: system time 11:19:00, logical clock time 146, remaining message queue size 29
Received a message: system time 11:19:00, logical clock time 149, remaining message queue size 30
Received a message: system time 11:19:01, logical clock time 151, remaining message queue size 30
Received a message: system time 11:19:01, logical clock time 156, remaining message queue size 32
Received a message: system time 11:19:02, logical clock time 158, remaining message queue size 33
Received a message: system time 11:19:02, logical clock time 159, remaining message queue size 35
Received a message: system time 11:19:03, logical clock time 160, remaining message queue size 36
Received a message: system time 11:19:03, logical clock time 163, remaining message queue size 35
Received a message: system time 11:19:04, logical clock time 168, remaining message queue size 35
Received a message: system time 11:19:04, logical clock time 174, remaining message queue size 36
Received a message: system time 11:19:05, logical clock time 176, remaining message queue size 36
Received a message: system time 11:19:05, logical clock time 177, remaining message queue size 37
Received a message: system time 11:19:06, logical clock time 183, remaining message queue size 36
Received a message: system time 11:19:06, logical clock time 187, remaining message queue size 38
Received a message: system time 11:19:07, logical clock time 189, remaining message queue size 39
Received a message: system time 11:19:08, logical clock time 190, remaining message queue size 40
Received a message: system time 11:19:08, logical clock time 193, remaining message queue size 39
Received a message: system time 11:19:09, logical clock time 195, remaining message queue size 40
Received a message: system time 11:19:09, logical clock time 199, remaining message queue size 41
Received a message: system time 11:19:10, logical clock time 201, remaining message queue size 41
Received a message: system time 11:19:10, logical clock time 202, remaining message queue size 41
Received a message: system time 11:19:11, logical clock time 205, remaining message queue size 41
Received a message: system time 11:19:11, logical clock time 206, remaining message queue size 41
Received a message: system time 11:19:12, logical clock time 207, remaining message queue size 40
Received a message: system time 11:19:12, logical clock time 208, remaining message queue size 41
Received a message: system time 11:19:13, logical clock time 209, remaining message queue size 42
Received a message: system time 11:19:13, logical clock time 211, remaining message queue size 44
Received a message: system time 11:19:14, logical clock time 214, remaining message queue size 44
Received a message: system time 11:19:14, logical clock time 215, remaining message queue size 46
Received a message: system time 11:19:15, logical clock time 217, remaining message queue size 46
Received a message: system time 11:19:15, logical clock time 219, remaining message queue size 45
Received a message: system time 11:19:16, logical clock time 222, remaining message queue size 45
Received a message: system time 11:19:16, logical clock time 223, remaining message queue size 44
Received a message: system time 11:19:17, logical clock time 224, remaining message queue size 43
Received a message: system time 11:19:17, logical clock time 226, remaining message queue size 43
Received a message: system time 11:19:18, logical clock time 227, remaining message queue size 42
Received a message: system time 11:19:18, logical clock time 228, remaining message queue size 42
Received a message: system time 11:19:19, logical clock time 229, remaining message queue size 42
Received a message: system time 11:19:19, logical clock time 230, remaining message queue size 43
Received a message: system time 11:19:20, logical clock time 231, remaining message queue size 43
